#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2521
#Date Time: 2020-07-28 16:44:39.131
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 6.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 10 V Attenuation: 1 X
#Channel 2: Range: 5 V/div Offset: -4.5 V Attenuation: 1 X
#Math 1: Function: C1 - C2

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
0.004391814577039271,9.419983027911227,0.2274742157535581,9.192508812157669
0.004404314577039277,9.28018080563189,0.2680964370358168,9.012084368596071
0.004416814577039276,9.173489635997742,0.3161045167329846,8.857385119264757
0.004429314577039274,9.206600688642835,1.143320659207637,8.063280029435198
0.004441814577039273,10.43906764821027,11.66447597130712,-1.225408323096845
0.004454314577039271,10.30662343762989,11.25825375848475,-0.9516303208548553
0.004466814577039277,9.78788361285665,0.8294216765718908,8.95846193628476
0.004479314577039276,9.611291332082891,0.2237812865460818,9.387510045536809
0.004491814577039274,9.379513963567222,0.2274742157535581,9.152039747813664
0.004504314577039273,9.239711741287932,0.2717893662432713,8.967922375044662
0.004516814577039271,9.136699577503189,0.3197974459404609,8.816902131562728
0.004529314577039277,9.059440454665241,0.3604196672276074,8.699020787437634
0.004541814577039276,10.39491957801681,11.15485174067542,-0.7599321626586022
0.004554314577039274,10.29190741423207,11.28410426293708,-0.9921968487050048
0.004566814577039273,9.589217296986158,0.9254378359665454,8.663779461019612
0.004579314577039272,9.552427238491608,0.2274742157535581,9.32495302273805
0.004591814577039277,9.339044899223154,0.2274742157535782,9.111570683469576
0.004604314577039276,9.202921682793379,0.2717893662432713,8.931132316550109
0.004616814577039274,9.110946536557003,0.3161045167329846,8.794842019824019
0.004629314577039273,9.033687413718448,0.3604196672226987,8.67326774649575
0.004641814577039272,10.23304332064079,9.917720456170912,0.3153228644698789
0.004654314577039277,10.28454940253278,11.30626183817726,-1.021712435644478
0.004666814577039276,9.456773086405777,1.028839853775877,8.427933232629901
0.004679314577039274,9.519316185846515,0.2348600741685098,9.284456111678004
0.004691814577039273,9.302254840728667,0.2237812865460818,9.078473554182585
0.004704314577039272,9.169810630148286,0.268096437035795,8.90171419311249
0.004716814577039277,9.081514489761329,0.3161045167330047,8.765409973028325
0.004729314577039276,9.007934372772263,0.3604196672226987,8.647514705549565
0.004741814577039274,10.06380905156586,8.662124525629029,1.401684525936831
0.004754314577039273,10.27719139083425,11.33949820104922,-1.062306810214968
0.004766814577039272,9.368476946018857,1.132241871585209,8.236235074433649
0.004779314577039277,9.482526127351862,0.2422459325834558,9.240280194768406
0.004791814577039276,9.265464782234117,0.2274742157535581,9.037990566480559
0.004804314577039275,9.136699577503189,0.268096437035795,8.868603140467393
0.004816814577039273,9.044724431266813,0.3124115875255082,8.732312843741305
0.004829314577039272,8.982181331826078,0.3604196672226987,8.62176166460338
0.00484181457703927,9.890895776641059,7.410221524291417,2.480674252349643
0.004854314577039276,10.2735123849848,11.37642749312398,-1.102915108139186
0.004866814577039275,9.099909519008639,1.243029747809492,7.856879771199146
0.004879314577039273,9.442057063007956,0.2533247202058906,9.188732342802066
0.004891814577039272,9.23235372958902,0.2274742157535581,9.004879513835462
0.00490431457703927,9.107267530707608,0.2644035078283019,8.842864022879306
0.004916814577039276,9.022650396170084,0.3124115875255082,8.710238808644576
0.004929314577039275,8.960107296729349,0.3567267380152224,8.603380558714127
0.004941814577039273,9.725340513415995,6.202633673449929,3.522706839966066
0.004954314577039272,10.27719139083425,11.41704971440622,-1.139858323571966
0.00496681457703927,8.886527179740879,1.353817624038353,7.532709555702526
0.004979314577039276,9.412625016212319,0.2607105786208432,9.151914437591476
0.004991814577039275,9.202921682793379,0.2311671449610335,8.971754537832346
0.005004314577039273,9.07783548391191,0.2607105786208432,8.817124905291067
0.005016814577039272,8.996897355223899,0.3124115875255082,8.684485767698391
0.005029314577039271,8.938033261632643,0.3567267380152022,8.581306523617441
0.005041814577039276,9.552427238491608,4.99135289339776,4.561074345093848
0.005054314577039275,10.2808703966837,11.45397900648098,-1.173108609797277
0.005066814577039273,8.570132676687114,1.46460550025806,7.105527176429055
0.005079314577039272,9.386871975266134,0.2717893662432713,9.115082609022863
0.005091814577039271,9.173489635997839,0.231167144961052,8.942322491036787
0.005104314577039276,9.052082442965725,0.2644035078283187,8.787678935137407
0.005116814577039275,8.974823320127166,0.3087186583180328,8.666104661809133
0.005129314577039273,8.919638232385344,0.3567267380152224,8.562911494370121
0.005141814577039272,9.383192969416678,3.82808019304278,5.555112776373898
0.005154314577039271,10.28454940253275,11.50568001538216,-1.221130612849405
0.005166814577039276,8.28317022042962,1.582779234897296,6.700390985532324
0.005179314577039275,9.364797940169401,0.279175224658224,9.085622715511178
0.005191814577039273,9.151415600901009,0.2311671449610335,8.920248455939976
0.005204314577039272,9.030008407868992,0.2607105786208432,8.769297829248149
0.005216814577039271,8.956428290879927,0.308718658318011,8.647709632561915
0.005229314577039276,8.904922208987523,0.353033808807746,8.551888400179777
0.005241814577039275,9.206600688642835,2.653728705065372,6.552871983577463
0.005254314577039274,10.29926542593098,11.56107395349779,-1.261808527566807
0.005266814577039272,7.955738699828123,1.700952969536532,6.254785730291591
0.005279314577039271,9.342723905072042,0.2939469414887683,9.048776963583274
0.005291814577039276,9.125662559954824,0.2348600741685098,8.890802485786313
0.005304314577039275,9.004255366922807,0.2607105786208432,8.743544788301964
